RH|P|C37126,45202
RH|P|C3274,32644
RH|P|C26099,765201
RH|P|C35075,765201
RH|P|C20873,765201
RH|P|C15719,765201
RH|P|C2174,765201
RH|P|C40674,765201
RH|P|C25281,765201
RH|P|C5866,765201
RH|P|C20746,765201
RH|P|C21402,765201
RH|P|C28625,765201
RH|P|C37561,765201
RH|P|C5284,765201
RH|P|C38042,765201
RH|P|C13686,765201
RH|P|C40105,765201
RH|P|C39789,765201
RH|P|C5541,765201
RH|P|C9819,765201
RH|P|C38965,765201
RH|P|C22068,765201
RH|P|C2330,765201
RH|P|C16265,765201
RH|P|C34261,765201
RH|P|C32023,765201
RH|P|C6265,765201
RH|P|C39515,45202
RH|P|C22810,591202
RH|P|C17516,591202
RH|P|C40251,591202
RH|P|C27074,591202
RH|P|C36492,591202
RH|P|C27684,591202
RH|P|C23433,591202
RH|P|C6686,591202
RH|P|C929,591202
RH|P|C39972,591202
RH|P|C17104,591202
RH|P|C41983,591202
RH|P|C4682,591202
RH|P|C4864,591202
RH|P|C17902,591202
RH|P|C24496,591202
RH|P|C22570,591202
RH|P|C4785,591202
RH|P|C29690,591202
RH|P|C23760,591202
RH|P|C18862,591202
RH|P|C35155,591202
RH|P|C14834,591202
RH|P|C39557,591202
RH|P|C19227,591202
RH|P|C6460,591202
RH|P|C484,591202
RH|P|C3031,591202
RH|P|C31058,591202
RH|P|C32208,591202
RH|P|C7239,591202
RH|P|C2708,591202
RH|P|C26449,591202
RH|P|C39068,591202
RH|P|C37997,591202
RH|P|C20958,591202
RH|P|C41987,591202
RH|P|C40412,591202
RH|P|C11921,591202
RH|P|C36059,591202
RH|P|C6109,591202
RH|P|C31328,591202
RH|P|C39901,591202
RH|P|C19366,591202
RH|P|C40376,591202
RH|P|C1616,591202
RH|P|C9245,591202
RH|P|C7330,591202
RH|P|C14982,591202
RH|P|C966,591202
RH|P|C32952,591202
RH|P|C27306,591202
RH|P|C9910,591202
RH|P|C5126,591202
RH|P|C26269,591202
RH|P|C19611,591202
