RM2|P|C20722,10239
RM2|P|C23700,1516
RM2|P|C11885,1516
RM2|P|C62876,1516
RM2|P|C29947,1516
RM2|P|C18511,1516
RM2|P|C40294,1516
RM2|P|C49671,1516
RM2|P|C29457,1516
RM2|P|C11357,1516
RM2|P|C58488,1516
RM2|P|C37021,1516
RM2|P|C31280,1516
RM2|P|C41478,1516
RM2|P|C19233,1516
RM2|P|C14266,1516
RM2|P|C57909,1516
RM2|P|C38762,1516
RM2|P|C24432,1516
RM2|P|C32202,1516
RM2|P|C27779,1516
RM2|P|C769,1516
RM2|P|C19955,1516
RM2|P|C50606,1516
RM2|P|C62705,1516
RM2|P|C47689,1516
RM2|P|C6593,1516
RM2|P|C61331,1516
RM2|P|C22698,1516
RM2|P|C33011,1516
RM2|P|C13242,1516
RM2|P|C34619,1516
RM2|P|C62026,1516
RM2|P|C18453,1516
RM2|P|C46277,1516
RM2|P|C6749,1516
RM2|P|C47380,1516
RM2|P|C60327,1516
RM2|P|C49189,1516
RM2|P|C30205,1516
RM2|P|C39702,1516
RM2|P|C56257,1516
RM2|P|C38980,1516
RM2|P|C59974,1516
RM2|P|C46503,1516
RM2|P|C15239,1516
RM2|P|C56645,1516
RM2|P|C36462,1516
RM2|P|C32154,1516
RM2|P|C7481,1516
RM2|P|C24915,1516
RM2|P|C53354,1516
RM2|P|C58642,1516
RM2|P|C14393,1516
RM2|P|C8574,1516
RM2|P|C62816,1516
RM2|P|C36969,1516
RM2|P|C37871,1516
RM2|P|C23083,1516
RM2|P|C26294,1516
RM2|P|C45783,1516
RM2|P|C23509,1516
RM2|P|C37919,1516
RM2|P|C29672,1516
RM2|P|C50001,1516
RM2|P|C33399,1516
RM2|P|C44861,1516
RM2|P|C10028,1516
RM2|P|C36211,1516
RM2|P|C11993,1516
RM2|P|C14684,1516
RM2|P|C24553,1516
RM2|P|C23190,1516
RM2|P|C57040,1516
RM2|P|C5897,1516
RM2|P|C17294,1516
RM2|P|C3220,1516
RM2|P|C34230,1516
RM2|P|C7357,1516
RM2|P|C49632,1516
RM2|P|C35691,1516
RM2|P|C3879,1516
RM2|P|C7854,1516
RM2|P|C34411,1516
RM2|P|C1169,1516
RM2|P|C20674,1516
RM2|P|C15899,1516
RM2|P|C5819,1516
RM2|P|C54481,1516
RM2|P|C11975,1516
RM2|P|C56675,1516
RM2|P|C33728,1516
RM2|P|C52351,1516
RM2|P|C53383,1516
RM2|P|C15234,1516
RM2|P|C53462,1516
RM2|P|C9826,1516
RM2|P|C2621,1516
RM2|P|C29754,1516
RM2|P|C40171,1516
RM2|P|C6307,1516
RM2|P|C47011,1516
RM2|P|C11733,1516
RM2|P|C59757,1516
RM2|P|C4715,1516
RM2|P|C28404,1516
RM2|P|C47571,1516
RM2|P|C50282,1516
RM2|P|C38592,1516
RM2|P|C53756,1516
RM2|P|C54063,1516
RM2|P|C51935,1516
RM2|P|C48514,1516
RM2|P|C18068,1516
RM2|P|C17987,1516
RM2|P|C1770,1516
RM2|P|C49453,1516
RM2|P|C53270,1516
RM2|P|C23665,1516
RM2|P|C4819,1516
RM2|P|C50375,1516
RM2|P|C2079,1516
RM2|P|C14483,1516
RM2|P|C1004,1516
RM2|P|C21857,1516
RM2|P|C33888,1516
RM2|P|C12135,1516
RM2|P|C53451,1516
RM2|P|C41809,1516
RM2|P|C31794,1516
RM2|P|C56619,1516
RM2|P|C43185,1516
RM2|P|C9247,1516
RM2|P|C58489,1516
RM2|P|C34413,1121270
RM2|P|C6158,1121270
RM2|P|C52967,1121270
RM2|P|C2873,1121270
RM2|P|C17504,1121270
RM2|P|C10228,1121270
RM2|P|C52956,1121270
RM2|P|C51644,1121270
RM2|P|C8998,1121270
RM2|P|C15293,1121270
RM2|P|C54935,1121270
RM2|P|C56134,1121270
RM2|P|C56739,1121270
RM2|P|C28321,1121270
RM2|P|C18931,1121270
RM2|P|C24276,1121270
RM2|P|C8687,1121270
RM2|P|C46056,1121270
RM2|P|C25635,1121270
RM2|P|C25062,1121270
RM2|P|C8116,1121270
RM2|P|C38427,1121270
RM2|P|C38196,1121270
RM2|P|C40086,1121270
RM2|P|C25988,1121270
RM2|P|C31117,1121270
RM2|P|C35747,1121270
RM2|P|C41397,1121270
RM2|P|C26152,1121270
RM2|P|C51319,1121270
RM2|P|C44979,1121270
RM2|P|C60543,1121270
RM2|P|C7013,1121270
RM2|P|C20270,1121270
RM2|P|C10902,1121270
RM2|P|C44760,1121270
RM2|P|C55154,1121270
RM2|P|C58388,1121270
RM2|P|C41246,1121270
RM2|P|C56843,1121270
RM2|P|C56756,1121270
RM2|P|C40100,1121270
RM2|P|C62373,1121270
RM2|P|C15144,1121270
RM2|P|C55109,1121270
RM2|P|C26627,1121270
RM2|P|C39215,1121270
RM2|P|C16501,1121270
RM2|P|C54060,1121270
RM2|P|C2996,1121270
RM2|P|C29964,1121270
RM2|P|C37823,1121270
RM2|P|C23708,1121270
RM2|P|C11041,1121270
RM2|P|C9161,1121270
RM2|P|C59380,1121270
RM2|P|C27695,1121270
RM2|P|C13914,1121270
RM2|P|C3480,1121270
RM2|P|C29227,1121270
RM2|P|C28539,1121270
RM2|P|C4562,1121270
RM2|P|C54909,1121270
RM2|P|C48650,1121270
RM2|P|C7288,1121270
RM2|P|C30290,1121270
RM2|P|C26717,45202
RM2|P|C21708,32644
RM2|P|C24474,32644
